,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
359,3.59,1.50381,36.9623,362.60016,24.542328,-1.063041
360,3.6,1.679687,41.43081,406.43622,25.983519,0.753758
361,3.61,1.664889,41.054836,402.74792,25.865353,0.604796
362,3.62,1.459878,35.84612,351.65045,24.168924,-1.533761
363,3.63,1.499023,36.84068,361.40704,24.501917,-1.113984
364,3.64,1.674805,41.30677,405.21942,25.944593,0.704689
365,3.65,1.708984,42.175156,413.73828,26.21589,1.046691
366,3.66,1.664889,41.054836,402.74792,25.865353,0.604796
367,3.67,1.494141,36.71664,360.19025,24.460634,-1.166025
368,3.68,1.542969,37.957214,372.36026,24.870438,-0.649419
369,3.69,1.738107,42.915085,420.99698,26.444859,1.335334
370,3.7,1.752748,43.287067,424.64615,26.559221,1.479503
371,3.71,1.606313,39.566593,388.1483,25.392216,0.008347
372,3.72,1.523437,37.460964,367.49207,24.707325,-0.855041
373,3.73,1.577027,38.822525,380.84897,25.152327,-0.294063
374,3.74,1.577027,38.822525,380.84897,25.152327,-0.294063
375,3.75,1.620957,39.938656,391.7982,25.511322,0.158497
376,3.76,1.669922,41.18271,404.00238,25.905603,0.655536
377,3.77,1.562383,38.450466,377.19907,25.031511,-0.446366
378,3.78,1.445233,35.474033,348.00027,24.04316,-1.692303
379,3.79,1.620957,39.938656,391.7982,25.511322,0.158497
380,3.8,1.708819,42.170963,413.69717,26.214588,1.045049
381,3.81,1.767392,43.65913,428.29605,26.673119,1.623084
382,3.82,1.606313,39.566593,388.1483,25.392216,0.008347
383,3.83,1.518555,37.336926,366.27524,24.666388,-0.906649
384,3.84,1.523437,37.460964,367.49207,24.707325,-0.855041
385,3.85,1.669922,41.18271,404.00238,25.905603,0.655536
386,3.86,1.694336,41.802994,410.08737,26.099966,0.900556
387,3.87,1.547739,38.078403,373.54916,24.910109,-0.599407
388,3.88,1.499023,36.84068,361.40704,24.501917,-1.113984
389,3.89,1.650245,40.682774,399.09802,25.747885,0.456712
390,3.9,1.50381,36.9623,362.60016,24.542328,-1.063041
391,3.91,1.635601,40.310715,395.44812,25.629875,0.307948
392,3.92,1.635601,40.310715,395.44812,25.629875,0.307948
393,3.93,1.694174,41.798878,410.047,26.098682,0.898936
