,Time,Voltage
828,4.14,0.654297
829,4.145,0.625
830,4.15,0.629883
831,4.155,0.610352
832,4.16,0.576172
833,4.165,0.551758
834,4.17,0.585937
835,4.175,0.625
836,4.18,0.59082
837,4.185,0.595703
838,4.19,0.639648
839,4.195,0.600586
840,4.2,0.571289
841,4.205,0.585937
842,4.21,0.634766
843,4.215,0.615234
844,4.22,0.59082
845,4.225,0.59082
846,4.23,0.605469
847,4.235,0.59082
848,4.24,0.561523
849,4.245,0.59082
850,4.25,0.600586
851,4.255,0.561523
852,4.26,0.517578
853,4.265,0.541992
854,4.27,0.546875
855,4.275,0.541992
856,4.28,0.781592
857,4.285,0.551758
858,4.29,0.517578
859,4.295,0.46875
860,4.3,0.43457
861,4.305,0.473633
862,4.31,0.488281
863,4.315,0.517578
864,4.32,0.551758
865,4.325,0.571289
866,4.33,0.537109
867,4.335,0.40351
868,4.34,0.507812
869,4.345,0.512695
870,4.35,0.507812
871,4.355,0.537109
872,4.36,0.566406
873,4.365,0.620117
874,4.37,0.585937
875,4.375,0.551758
876,4.38,0.556641
877,4.385,0.541992
878,4.39,0.763694
879,4.395,0.537109
880,4.4,0.585937
881,4.405,0.581055
882,4.41,0.561523
883,4.415,0.551758
884,4.42,0.541992
885,4.425,0.50293
886,4.43,0.473633
887,4.435,0.512695
888,4.44,0.517578
889,4.445,0.50293
890,4.45,0.512695
891,4.455,0.561523
892,4.46,0.527344
893,4.465,0.400754
894,4.47,0.517578
895,4.475,0.527344
896,4.48,0.546875
897,4.485,0.581055
898,4.49,0.595703
899,4.495,0.625
900,4.5,0.610352
901,4.505,0.625
902,4.51,0.644531
903,4.515,0.600586
904,4.52,0.532227
905,4.525,0.546875
906,4.53,0.517578
907,4.535,0.571289
908,4.54,0.639648
909,4.545,0.649414
910,4.55,0.654297
911,4.555,0.654297
912,4.56,0.615234
913,4.565,0.610352
914,4.57,0.728665
915,4.575,0.595703
916,4.58,0.59082
917,4.585,0.566406
918,4.59,0.571289
919,4.595,0.605469
920,4.6,0.585937
921,4.605,0.556641
922,4.61,0.512695
923,4.615,0.46875
924,4.62,0.458984
925,4.625,0.458984
926,4.63,0.483398
927,4.635,0.527344
928,4.64,0.561523
929,4.645,0.581055
930,4.65,0.600586
931,4.655,0.644531
932,4.66,0.698242
933,4.665,0.668945
